user,rule_id,goal,user_type,situation,context,context_nl,item,item_nl,label
student2021-02,368,Comfort,Generic,Morning,datetime-localtime;bedroomlight-state,"If it's 7:30 am and  the bedroom lights are off,  ",tablet-state," if I have at least one device on (tablet),",0
domainExpert7,57,"Health, Wellbeing",Caregiver,Generic,datetime-localtime,When time becomes  09:00 minutes ,reminders-reminders,"do send  the reminder  ""Reminder: eye drops and therapy"" by notification",1
student2019-20,223,Wellbeing,Generic,Morning,bedroom-activate,activate the bedroom lights ,datetime-daytype,"it's a working day, ",0
student2020-20,323,Organizing,Caregiver,Generic,alarms-alarms;personaldata-age," send the SMS alarm to the user ""Remember to check if the bathroom window is closed"" and the user suffers from memory loss associated with age, ",cognitive-cognitivestate,If the user's age is over 70 or ,1
student2020-23,337,EnergySaving,Generic,Generic,bathroom-noiselevel;bathroomlight-state,"When the noise in the bathroom is loud and  the light is turned off,  ",reminders-reminders,remember to turn off the water.,1
student2021-06,388,Health,Generic,Generic,test-user-heartrate;smartphone-state,"When my heart rate exceeds a certain threshold and  if I have at least one device on (smartphone), ",tablet-state," if I have at least one device on (tablet),",1
student2021-02,368,Comfort,Generic,Morning,datetime-localtime;bedroomlight-state,"If it's 7:30 am and  the bedroom lights are off,  ",entrancelight-state,"the lights are not on between 4 p.m. and 6 a.m.,",0
student2020-3,237,Organizing,Generic,BadWeather,alarms-alarms,"notify the person with the SMS ""Close the window"". ",currentweather-rain,"it starts to rain,",1
domainExpert4,23,Generic,Caregiver,Debug,reminders-reminders;datetime-localtime,"do send  the reminder ""Turn off the great luminarie"" by notification time is  13:37 minutes  ",greatluminaire-state,if  Great Luminaire state is different from  off and,1
domainExpert9,72,Wellbeing,Caregiver,Generic,cognitive-emotionalstate,if  Test-user emotional state is  discouraged  ,alarms-alarms,"do send  one  alarm  ""Emotional status discouraged"" by notification",1
student2020-2,233,Wellbeing,Generic,ColdSeason,bathroom-temperaturelevel,"the temperature in the bathroom is 11 degrees,  ",garden-smokesensor,"If the smoke sensor in the garden is not turned on, ",0
student2020-27,359,Comfort,Generic,Generic,reminders-reminders;livingroom-alllight,"and send a 'successful voice command' reminder. turn on the living room lights,  ",livingroomlight-state,"if the living room light is off, ",1
student2020-6,253,Organizing,Student,Generic,alarms-alarms;bedroomportablelight-state,"then send a (voice) reminder and the lamp light in the bedroom is on,  ",kitchen-noiselevel,If the noise in the kitchen is greater than 60 db (example threshold) and ,1
applicationExpert4,100,Comfort,Generic,Generic,relativeposition-typeofproximity,Test-user   is  inside  kitchen and ,kitchen-lightlevel,Kitchen light level is  dark,1
applicationExpert4,109,Wellbeing,Generic,Generic,datetime-localtime, WHEN  time becomes  15:00 minutes and ,relativeposition-typeofproximity, Test-user   is  inside  livingroom,1
student2021-13,424,"Comfort,Wellbeing",Generic,Generic,home-robotvacuumcleaner, turn off the vacuum cleaner and  ,reminders-reminders,send reminders to vacuum clean when you have finished watching TV.,1
student2020-3,238,EnergySaving,Generic,Generic,alarms-alarms," warn the user with the message ""Close the fridge door!"" and ",fridge-door,"the fridge door is open, ",1
student2020-26,354,Wellbeing,Generic,Generic,bathroom-alllight;bathroomlight-state,"Turn on the white light in the bathroom and  If the light in the bathroom is off,  ",bathroom-doorsensor,When the bathroom door sensor opens and ,0
student2019-8,162,Safety,Family,Night,relativeposition-typeofproximity,If the child is not in the bedroom in the time interval from 23:00 to 00:00 (condition with 'Not') ,currentweather-weathericon,If the weather weather icon is sun,0
student2020-9,269,Generic,Generic,Debug,reminders-reminders;bathroom-alllight;vocalinput-vocalstring,"send  one  reminder  ""Remember to turn on the bathroom light"" by voice do  turn on all lights in the bathroom,  When  Test-user vocal sentence becomes  turn on light in bathroom color white  ,   ",test-user-outsideposition,"When the user is in the office, ",0
domainExpert9,81,Comfort,Generic,Generic,livingroom-relax,do start relaxing light scene in the living room ,kitchen-temperaturelevel,"the kitchen temperature is above 40,",0
student2020-9,266,EnergySaving,Generic,Night,corridor-alllight;alarms-alarms,"turn off all lights in the corridor do send  two  alarms   by sms to me with text ""turn the ligths off"", ",microwave-door," the microwave oven door is closed, ",0
student2021-11,412,Safety,Generic,BadWeather,currentweather-outdoorcondition;tv-state;devices-tv,"If there is a storm outside and  the television is on,  turn off the television and  ",livingroom-temperaturelevel,"If the living room temperatures are no higher than 12 degrees between 1pm and 6pm,",0
student2019-13,189,EnergySaving,Generic,Generic,reminders-reminders,"send a notification ""You forgot the lights on in the bathroom"" and  ",microwave-door,"the microwave door is closed,",0
student2020-24,343,Wellbeing,Generic,Night,bedroom-alllight,turn off the bedroom lights and  ,alarms-alarms,"send the voice alarm ""It's midnight""",1
student2019-18,213,"Comfort, Wellbeing",Generic,BadWeather,corridor-doorwindowsensor,(CONDITION 2) the windows are open ,entrance-changelightstate,turn on the lights.,0
student2020-15,295,EnergySaving,Generic,Generic,fridge-door,"If the refrigerator door is open,  ",reminders-reminders,"send a text message reminder to me with ""refrigerator"" to remind me not to waste light and spoil food and act promptly by closing the door.",1
student2020-8,262,Generic,Generic,Generic,bathroom-doorsensor;bathroom-doorsensor,"When the bathroom door sensor opens and  when the sensor is open,  ",reminders-reminders,"send the voice reminder ""Close the bathroom door!"" to close it",1
student2020-24,343,Wellbeing,Generic,Night,alarms-alarms;bedroom-alllight;bedroomlight-state,"send the voice alarm ""It's midnight"" turn off the bedroom lights and   the bedroom light is on,  ",bedroomportablelight-brightness,When the brightness of the portable light of the bedroom  becomes greater than 100,0
student2020-19,316,Security,Generic,Night,alarms-alarms,send 3 alarm SMS notifications and at the same time  ,livingroom-changelightstate,do  turn on the  Living Room Light,0
student2020-14,294,EnergySaving,Generic,Generic,bedroom-alllight,turn off the light and  ,reminders-reminders,"alert the user with a notification reminder, saying ""Remember to turn off the light when you leave the bedroom.""",1
student2019-1,123,EnergySaving,Generic,Generic,alarms-alarms;bedroomlight-state,the action signaled by an alarm with notification: Energy saving mode active and the lights are on ,bedroom-changelightstate,turn on the bedroom light for 5 minutes.,0
student2021-04,378,"Wellbeing,Comfort",Generic,Morning,datetime-localtime;test-user-bedinout,"If it's 9am and  I'm still in bed,  ",bedroom-changelightstate,turn on the bedroom lights for 10 minutes and,1
student2020-7,258,Safety,Generic,Generic,kitchen-smokesensor;microwave-door,"If the smoke detection sensor in the kitchen is activated and  the microwave oven door is closed,  ",reminders-reminders,a voice alarm message 'food is burnt!' and ,1
student2020-17,306,EnergySaving,Generic,Generic,livingroom-lightlevel;reminders-reminders,"If the light level of the living room is not dark between 6pm and 7am,   send the notification ""You forgot the light on in the living room! I will take care of that, be careful!"", ",home-securityintrusion,"When the security system detects an intrusion, ",0
student2019-5,140,EnergySaving,Generic,Generic,fridge-door,If the refrigerator door  is open ,entrance-temperaturelevel,If the entrance temperature becomes less than 15 degrees and ,0
student2019-13,187,Security,Generic,Generic,entrance-doorsensor;alarms-alarms,"If the entrance door is not closed between midnight and 8.00 in the morning,  send a text message to the user ""Door has been opened!!!"" and ",all-alllight,turn on all the lights in the house.,1
student2021-06,385,Safety,Generic,Generic,home-alllight,then turn on all the lights in the house and  ,garden-smokesensor,"If the smoke sensor in the garden is not turned on, ",1
student2021-06,388,Health,Generic,Generic,reminders-reminders;home-alllight;pc-state,"send me the email ""hearth rate too high""  then turn on all the lights in the house and   if I have at least one device on (pc), ",home-heating,turn on the heating and ,0
student2020-13,287,Organizing,Generic,"BadWeather, ColdSeason",reminders-reminders,"it sends a notification to the user ""REMEMBER YOUR UMBRELLA AND COVER UP THAT IT'S COLD."" ",bathroomlight-state,"If the light in the bathroom is off, ",0
