user,rule_id,goal,user_type,situation,context,context_nl,item,item_nl,label
student2021-12,417,Wellbeing,Generic,Generic,none,none,bedroom-temperature,"When the temperature in the bedroom is greater than 20 °C, ",1
student2020-15,298,Comfort,Generic,Evening,alarms-alarms,"send a text message alarm saying ""lights on"" and then  ",entrance-door,close the door.,0
student2020-15,298,Comfort,Generic,Evening,alarms-alarms,"send a text message alarm saying ""lights on"" and then  ",livingroom-lightlevel,"if the living room light is off, ",1
student2021-07,391,Health,Generic,Generic,devices-smartphonetv,turn on your phone and  ,test-user-medicine,"If you haven't taken your medicine, ",1
applicationExpert4,103,Health,Caregiver,Generic,reminders-reminders,"do send  one  reminder ""remember to take the medicine"" by notification ",datatime-localtime,If it's after 9:30 pm and,0
student2019-19,216,Organizing,Generic,"BadWeather, GoingOut",reminders-reminders;currentweather-rainquantity," send a reminder with the words 'Remember to take an umbrella!'.  the amount of rain is more than 10, ",smalllight-state,the bedside light is not on (condition),0
student2019-6,149,Wellbeing,Generic,Morning,bedroom-relax,it sets the lights in relax mode (impact not too strong) and ,reminders-reminders, sends a voice that says: Have a nice day.,1
student2021-15,433,"Comfort, Organizing",Generic,GoingOut,reminders-reminders;home-allwindow,send me a text message saying 'remember to take the house keys and the mask'. close all the windows and  ,hearth rate,"send  two  alarms ""hearth rate"" by notification",0
student2019-14,192,Wellbeing,Student,Generic,none,none,fridge-door,"If the refrigerator door is not closed between 00:00 and 06:30, ",1
domainExpert9,77,Wellbeing,Caregiver,Generic,none,none,cognitive-emotionalstate,if  Test-user emotional state is  discouraged ,1
student2020-15,297,Organizing,Generic,ColdSeason,entrance-temperaturelevel;entrance-windowsensor,"If the entrance temperature becomes less than 15 degrees and  the entrance window is open,  ",reminders-reminders,send a text message reminder to me to turn on the heaters and close the window.,1
student2019-15,198,Comfort,Generic,Generic,entrance-motion,"if movement is detected at the entrance, ",entrancelight-state,If the entrance lights are off and ,1
student2020-4,241,"Comfort,Wellbeing",Generic,Generic,livingroom-alllight,turn on the living room lights ,alarms-alarms," text me ""Fix the living room temperature"" and ",1
applicationExpert4,98,"Health, Wellbeing",Generic,GoodWeather,none,none,reminders-reminders,"do send  one  reminder ""Tomorrow the weather will be excellent: remember to go out for a walk!"" by notification",1
student2021-15,432,Wellbeing,Generic,Evening,none,none,devices-alexa services,Alexa turns on the music and ,1
student2019-13,189,EnergySaving,Generic,Generic,relativeposition-typeofproximity;bathroom-lightlevel;reminders-reminders,"If the user has left the bathroom and  the lights are on,  send a notification ""You forgot the lights on in the bathroom"" and  ",bathroom-alllight,turn off the lights in the bathroom.,1
applicationExpert4,111,"Health, Wellbeing",Generic,GoodWeather,none,none,datetime-localtime,time  is between 09:30 AND 11:00 ,1
domainExpert5,29,Health,Caregiver,Generic,medication-intaketime,if  Test-user intake time is different from  15:00 ,alarms-alarms,"do send  one  alarm ""Take the 3 o'clock pill"" by notification",1
applicationExpert4,105,Health,Caregiver,ElderlyAlone,none,none,entrance-windowsensor,"the entrance window is open, ",0
student2020-27,357,Wellbeing,Generic,Generic,reminders-reminders;bathroom-temperaturelevel," it sends a reminder 'remember to dehumidify the bathroom before use' if the bathroom temperature is below 20 °C, ",bathroom-humiditylevel,When the humidity level in the bathroom is greater than 65% and ,1
student2021-06,387,Comfort,Generic,Generic,livingroom-changelightstate;light-state,"then turn on the living room lights and if the lights in the living room are off,  ",livingroom-lightlevel,If the light in the living room is too low and ,1
student2019-8,155,Safety,Generic,Generic,kitchen-gassensor,If the gas sensor is active (condition) and ,kitchen-microwave,turn off the microwave oven and ,0
domainExpert9,76,Health,Caregiver,Generic,none,none,reminders-reminders,"do send  one  reminder ""aspirine"" by mail to domainExpert9@email.net",1
domainExpert7,58,Wellbeing,Caregiver,Evening,datetime-localtime,time becomes  more then  22:00 minutes ,livingroom-relax,do start relaxing light scene in the living room,1
student2020-7,258,Safety,Generic,Generic,kitchen-smokesensor;microwave-door,"If the smoke detection sensor in the kitchen is activated and  the microwave oven door is closed,  ",reminders-reminders,a voice alarm message 'food is burnt!' and ,1
domainExpert7,51,Comfort,Caregiver,Generic,relativeposition-typeofproximity,When Test-user   is  inside  livingroom and ,datetime-localtime,time is  more then  09:30 minutes,1
student2020-23,339,Wellbeing,Generic,Generic,none,none,timeinsidearoom-timeinsidebedroom,If you stay in the bedroom for more than 10 hours and ,1
student2020-11,277,Organizing,Student,ColdSeason,datetime-localtime,"it's 2 p.m.,  ",reminders-reminders,"text ""sister"" ""It's snowing! No beach volleyball at 2:20 p.m.""",1
student2021-06,388,Health,Generic,Generic,pc-state;home-alllight," if I have at least one device on (pc),  then turn on all the lights in the house and  ",reminders-reminders,"send me the email ""hearth rate too high""",1
student2020-14,290,Wellbeing,Generic,Generic,reminders-reminders,"it sends a voice reminder saying ""Enjoy relaxing!"" ",entrancelight-saturation,"the saturation is below 5, ",0
student2019-8,163,EnergySaving,Generic,Generic,kitchen-motion;fridge-door,If the motion sensor in the kitchen detects a degree of movement lower than -3 (condition)  and the refrigerator door is open (condition) ,corridor-light strip corridor,the LED strip in the corridor lights up  setting it to a mango tango color.,1
student2019-11,177,Safety,Generic,Generic,alarms-alarms;entrancelight-state,"send me an alarm by notification and  if the entrance light is off,  ",devices-tv,turn on the TV,0
domainExpert7,56,"Health, Wellbeing",Caregiver,Generic,none,none,kitchen-lightlevel,Kitchen light level is  dark,0
student2020-19,318,"Wellbeing,Organizing",Generic,Evening,kitchen-alllight;alarms-alarms,turn on all the lights in the kitchen send me an alarm notification to warn me that it is dinner time and at the same time  ,kitchenlight-state,if the light in the kitchen is off ,1
